motif_name	AmnSINE1	Bov-tA1	Bov-tA2	Bov-tA3	HAL1	L2b	L3	LTR33A_	MER102b	MER21C	MER77B	MER81	MER89	MIR3	MLT1N2	Plat_L3	SINE2-1_BT	Tigger7
BSX	0	3.6e-032	6.1e-107	1.5e-023	0	0	0	0	0	0	0	0	0	0	0	0	2.6e-001	0
CDX1	0	6.3e-004	2.4e-019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDX2	0	8.9e-021	4.5e-054	5.9e-016	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDX4	0	2.4e-008	2.4e-036	3.7e-003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPA	0	7.9e-010	4.7e-032	6.5e-008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPB	0	0	8.0e-009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPD	0	3.4e-004	7.7e-015	5.5e-004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPE	0	0	6.4e-003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPG	0	0	1.4e-002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPG(var.2)	0	3.1e-006	3.9e-044	5.6e-011	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3e-003
CENPB	0	0	2.2e-013	8.2e-053	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLOCK	0	1.1e-002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREB1	0	0	6.2e-013	9.1e-001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREB3	0	0	2.6e-001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREB3L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Creb3l2	0	4.5e-051	1.3e-043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREB3L4	0	0	0	1.9e-001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREB3L4(var.2)	0	0	8.2e-007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Creb5	0	0	2.3e-001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREM	0	4.0e-005	7.2e-007	3.3e-028	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crx	0	1.7e-009	3.7e-007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTCF	0	5.1e-057	1.4e-076	2.3e-005	0	0	0	0	0	0	0	0	0	0	0	0	1.8e-001	0
CTCFL	0	7.9e-079	3.8e-040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUX1	0	1.3e-017	1.7e-037	1.5e-008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUX2	0	3.9e-024	2.3e-035	1.6e-009	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DBP	0	0	9.8e-011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddit3::Cebpa	0	3.1e-067	1.6e-223	2.6e-042	0	0	0	0	0	0	0	0	0	0	0	0	1.7e-030	0
Dlx1	0	1.0e-046	1.9e-144	1.7e-033	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dlx2	0	7.2e-038	3.4e-113	2.6e-025	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dlx3	0	6.2e-040	1.8e-115	7.8e-028	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dlx4	0	6.8e-038	6.6e-112	2.4e-025	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLX5	0	8.8e-015	6.6e-065	4.4e-009	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLX6	0	3.7e-042	1.3e-122	1.7e-024	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmbx1	0	4.4e-011	1.3e-032	5.3e-008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmrt1	0	1.4e-005	6.2e-028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMRT3	0	3.0e-006	6.9e-028	3.2e-018	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMRTA2	0	0	1.6e-004	5.3e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMRTC2	0	5.0e-009	1.6e-039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPRX	0	9.3e-017	3.4e-051	1.4e-010	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRGX	0	1.0e-032	1.6e-116	1.6e-020	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dux	0	3.0e-011	1.0e-033	4.3e-002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUX4	0	6.2e-013	3.8e-029	2.8e-005	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUXA	0	5.6e-022	2.5e-062	4.1e-017	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F1	0	3.9e-011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F6	0	1.1e-110	8.3e-228	1.0e-060	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EBF1	0	5.3e-466	4.3e-2041	3.7e-533	4.0e-002	0	0	0	0	0	0	0	0	0	0	0	5.9e-071	0
Ebf2	0	2.9e-251	1.8e-840	9.1e-176	0	0	0	0	0	0	0	0	0	0	0	0	3.7e-044	0
EBF3	0	3.0e-248	1.1e-863	7.7e-178	0	0	0	0	0	0	0	0	0	0	0	0	7.1e-048	0
EGR1	0	1.8e-010	1.6e-135	1.2e-045	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EGR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EGR3	0	0	1.3e-003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EGR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EHF	0	1.1e-451	3.3e-1653	4.5e-492	5.0e-005	5.7e-008	1.9e-001	0	0	0	0	0	0	2.1e-004	0	0	6.4e-002	0
ELF2	0	1.3e-014	1.9e-011	0	1.0e-001	4.8e-002	0	0	0	0	0	0	0	0	0	0	0	0
ELF4	0	4.9e-008	2.8e-009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELF5	0	1.3e-328	4.8e-1122	2.9e-324	3.0e-004	4.9e-005	1.6e-003	0	0	0	0	0	0	1.4e-009	0	0	0	0
ELK1	0	0	0	0	0	3.8e-001	0	0	0	0	0	0	0	2.1e-001	0	0	0	0
EMX1	0	7.5e-022	2.0e-063	9.1e-017	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EMX2	0	3.0e-025	2.9e-078	4.1e-016	0	0	0	0	0	7.3e-002	0	0	0	0	0	0	0	0
EN1	0	8.4e-034	7.8e-087	8.1e-018	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EN2	0	6.5e-016	4.5e-031	3.0e-008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EOMES	0	1.9e-020	2.8e-046	6.0e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERF	0	1.9e-192	4.3e-149	1.6e-007	6.1e-009	4.8e-009	2.7e-002	0	0	0	0	0	0	1.9e-002	0	0	0	0
ERG	0	1.8e-214	1.6e-822	1.7e-262	3.9e-008	5.4e-009	1.9e-005	0	0	0	0	0	0	9.6e-007	0	0	0	0
ESR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESR2	0	8.7e-123	4.7e-335	7.4e-051	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESRRA	0	0	2.8e-003	0	0	0	0	0	0	0	0	0	0	2.0e-005	0	0	0	0
ESRRB	0	0	2.4e-019	4.6e-001	0	0	0	0	0	0	0	0	0	2.9e-004	0	0	0	0
Esrrg	0	0	1.1e-015	1.8e-004	0	0	0	0	0	0	0	0	0	1.4e-003	0	0	0	0
ESX1	0	6.1e-038	4.6e-113	6.3e-024	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETS1	0	1.9e-257	5.6e-833	2.9e-244	4.9e-008	1.4e-007	2.9e-005	0	0	0	0	0	0	5.0e-005	0	0	0	0
ETS2	0	1.1e-014	2.9e-009	0	7.9e-003	1.1e-003	1.5e-004	0	0	0	0	0	0	3.9e-006	0	0	0	8.5e-001
